unit_source,init_rupt,lon,lat,length,width,depth,strike,dip,rake
A_01,0,161.7297737588,52.5786635208,40000,40000,7.5,217,6.5,90
A_02,0,161.3588120913,52.3135710137,40000,40000,7.5,217,6.5,90
A_03,0,160.9917359965,52.0472898622,40000,40000,7.5,217,6.5,90
A_04,0,160.6284713940,51.7798324767,40000,40000,7.5,217,6.5,90
A_05,0,160.2689453942,51.5112106041,40000,40000,7.5,217,6.5,90
A_06,0,159.9130862871,51.2414353418,40000,40000,7.5,217,6.5,90
A_07,0,159.5608235295,50.9705171510,40000,40000,7.5,217,6.5,90
A_08,0,159.2120877317,50.6984658691,40000,40000,7.5,217,6.5,90
A_09,0,158.8668106431,50.4252907221,40000,40000,7.5,217,6.5,90
A_10,0,158.5249251375,50.1510003363,40000,40000,7.5,217,6.5,90
A_11,0,158.1863651975,49.8756027494,40000,40000,7.5,217,6.5,90
A_12,0,157.8510658978,49.5991054215,40000,40000,7.5,217,6.5,90
A_13,0,157.5189633891,49.3215152451,40000,40000,7.5,217,6.5,90
A_14,0,157.1899948803,49.0428385550,40000,40000,7.5,217,6.5,90
A_15,0,156.8640986214,48.7630811378,40000,40000,7.5,217,6.5,90
A_16,0,156.5412138854,48.4822482403,40000,40000,7.5,217,6.5,90
B_01,0,161.3237179261,52.8220758819,40000,40000,12,217,6.5,90
B_02,0,160.9531157893,52.5556834045,40000,40000,12,217,6.5,90
B_03,0,160.5864318119,52.2881154896,40000,40000,12,217,6.5,90
B_04,0,160.2235903244,52.0193845001,40000,40000,12,217,6.5,90
B_05,0,159.8645169076,51.7495021306,40000,40000,12,217,6.5,90
B_06,0,159.5091383782,51.4784794205,40000,40000,12,217,6.5,90
B_07,0,159.1573827752,51.2063267684,40000,40000,12,217,6.5,90
B_08,0,158.8091793442,50.9330539448,40000,40000,12,217,6.5,90
B_09,0,158.4644585216,50.6586701046,40000,40000,12,217,6.5,90
B_10,0,158.1231519178,50.3831837993,40000,40000,12,217,6.5,90
B_11,0,157.7851923001,50.1066029886,40000,40000,12,217,6.5,90
B_12,0,157.4505135742,49.8289350513,40000,40000,12,217,6.5,90
B_13,0,157.1190507667,49.5501867961,40000,40000,12,217,6.5,90
B_14,0,156.7907400056,49.2703644711,40000,40000,12,217,6.5,90
B_15,0,156.4655185015,48.9894737742,40000,40000,12,217,6.5,90
B_16,0,156.1433245280,48.7075198616,40000,40000,12,217,6.5,90
C_01,0,160.9136037625,53.0640607295,40000,40000,16.5,217,6.5,90
C_02,0,160.5434095619,52.7963583629,40000,40000,16.5,217,6.5,90
C_03,0,160.1771657566,52.5274940236,40000,40000,16.5,217,6.5,90
C_04,0,159.8147950653,52.2574800191,40000,40000,16.5,217,6.5,90
C_05,0,159.4562215169,51.9863279827,40000,40000,16.5,217,6.5,90
C_06,0,159.1013704360,51.7140488878,40000,40000,16.5,217,6.5,90
C_07,0,158.7501684260,51.4406530622,40000,40000,16.5,217,6.5,90
C_08,0,158.4025433520,51.1661502013,40000,40000,16.5,217,6.5,90
C_09,0,158.0584243233,50.8905493810,40000,40000,16.5,217,6.5,90
C_10,0,157.7177416742,50.6138590703,40000,40000,16.5,217,6.5,90
C_11,0,157.3804269453,50.3360871432,40000,40000,16.5,217,6.5,90
C_12,0,157.0464128636,50.0572408896,40000,40000,16.5,217,6.5,90
C_13,0,156.7156333227,49.7773270267,40000,40000,16.5,217,6.5,90
C_14,0,156.3880233621,49.4963517091,40000,40000,16.5,217,6.5,90
C_15,0,156.0635191466,49.2143205385,40000,40000,16.5,217,6.5,90
C_16,0,155.7420579454,48.9312385733,40000,40000,16.5,217,6.5,90
D_01,0,160.4993637297,53.3046004658,40000,40000,21,217,6.5,90
D_02,0,160.1296276737,53.0355783944,40000,40000,21,217,6.5,90
D_03,0,159.7638738499,52.7654080781,40000,40000,21,217,6.5,90
D_04,0,159.4020233418,52.4941017600,40000,40000,21,217,6.5,90
D_05,0,159.0439986067,52.2216710035,40000,40000,21,217,6.5,90
D_06,0,158.6897234580,51.9481267074,40000,40000,21,217,6.5,90
D_07,0,158.3391230471,51.6734791201,40000,40000,21,217,6.5,90
D_08,0,157.9921238439,51.3977378534,40000,40000,21,217,6.5,90
D_09,0,157.6486536168,51.1209118963,40000,40000,21,217,6.5,90
D_10,0,157.3086414125,50.8430096271,40000,40000,21,217,6.5,90
D_11,0,156.9720175346,50.5640388259,40000,40000,21,217,6.5,90
D_12,0,156.6387135225,50.2840066863,40000,40000,21,217,6.5,90
D_13,0,156.3086621289,50.0029198263,40000,40000,21,217,6.5,90
D_14,0,155.9817972984,49.7207842992,40000,40000,21,217,6.5,90
D_15,0,155.6580541445,49.4376056035,40000,40000,21,217,6.5,90
D_16,0,155.3373689271,49.1533886924,40000,40000,21,217,6.5,90
